Drug,Y
CCOC(=O)C1CN(Cc2ccccc2)C(=O)C1=O,-0.262909369
COc1ccc2Sc3ccccc3N(C[C@H](C)CN(C)C)c2c1,0.56274864
CCCN(CCC)C1CCc2cccc(O)c2C1,0.459108425
CCOc1ccccc1OCC1CNCCO1,0.497115921
O=C(NCCCN1CCCCCC1)C(C1CCCCC1)c1ccccc1,0.101744566
CC(CN(C(C)=O)c1c(I)cc(I)c(N)c1I)C(O)=O,-0.068790977
O=S(=O)(N1CCNCC1)c1cccc2cnccc12,0.231419293
CC(C)(C)NC[C@@H](O)COc1cccc2C(=O)CCCc12,-0.325971742
Ic1ccc(NC(=N)NC2C3CC4CC(C3)CC2C4)cc1,-0.376637727
C[C@@H]1NC(=O)NC1=O,-0.235108083
COCc1nc2n(CC(C)C)c(=O)n(C)c(=O)c2[nH]1,0.055524745
Nc1ccccc1S(N)(=O)=O,-0.195738136
COc1ccccc1N1CCN(CCCCN2C(=O)c3ccccc3C2=O)CC1,-0.194586522
C=O.C1CO1.CC(C)(C)CC(C)(C)c1ccc(O)cc1,-0.19461627
CNC(=O)c1cc2c(cn1)[nH]c1ccccc21,0.279631702
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO,0.056203379
C(COc1ccc2OCOc2c1)CN1CCN(CC1)c1ccccc1,0.50752696
NS(=O)(=O)c1cc2c(NC(CC3CCCC3)NS2(=O)=O)cc1Cl,-0.01897733
Cc1[nH]c2ccc(O)cc2c1CCN,-0.373393065
OCCN1CCN(CC\C=C2\c3ccccc3Sc3ccc(Cl)cc23)CC1,-0.025684492
C(C#CCN1CCCC1)N1CCCC1,-0.257870444
COc1ccc(cc1OC)C(=O)N1CCCc2cc(ccc12)C1=NNC(=O)SC1C,-0.118873353
CC(C)NCC(O)COc1ccc(NC(C)=O)cc1,0.058418463
O=c1cccc2[C@H]3CNC[C@H](C3)Cn12,0.114800893
